Customer ID,Revenue,Orders,AOV,Purchase_Frequency,Lifespan,CLV
12346.0,77556.46,12,6463.038333333334,12,3,232669.38
12347.0,4921.53,8,615.19125,8,3,14764.59
12348.0,2019.3999999999999,5,403.88,5,3,6058.200000000001
12349.0,4428.6900000000005,4,1107.1725000000001,4,3,13286.070000000002
12350.0,334.40000000000003,1,334.40000000000003,1,3,1003.2
12351.0,300.93,1,300.93,1,3,902.79
12352.0,2849.84,10,284.98400000000004,10,3,8549.52
12353.0,406.76,2,203.38,2,3,1220.28
12354.0,1079.4,1,1079.4,1,3,3238.2000000000003
12355.0,947.61,2,473.805,2,3,2842.83
12356.0,6371.7300000000005,6,1061.9550000000002,6,3,19115.190000000002
12357.0,18287.66,3,6095.886666666666,3,3,54862.979999999996
12358.0,3887.07,5,777.414,5,3,11661.21
12359.0,8873.39,10,887.3389999999999,10,3,26620.17
12360.0,4252.89,8,531.61125,8,3,12758.670000000002
12361.0,511.25,4,127.8125,4,3,1533.75
12362.0,5356.2300000000005,11,486.93000000000006,11,3,16068.690000000002
12363.0,552.0,2,276.0,2,3,1656.0
12364.0,1313.1,4,328.275,4,3,3939.2999999999997
12365.0,641.38,2,320.69,2,3,1924.1399999999999
12366.0,500.24,1,500.24,1,3,1500.72
12367.0,168.9,1,168.9,1,3,506.70000000000005
12368.0,917.7,1,917.7,1,3,2753.1000000000004
12369.0,1791.15,3,597.0500000000001,3,3,5373.450000000001
12370.0,4316.56,7,616.6514285714286,7,3,12949.68
12371.0,4067.38,5,813.476,5,3,12202.14
12372.0,1298.04,3,432.68,3,3,3894.12
12373.0,1127.65,3,375.8833333333334,3,3,3382.9500000000003
12374.0,2989.2200000000003,4,747.3050000000001,4,3,8967.66
12375.0,457.5,2,228.75,2,3,1372.5
12376.0,503.15,2,251.575,2,3,1509.4499999999998
12377.0,3426.32,4,856.58,4,3,10278.960000000001
12378.0,5416.32,2,2708.16,2,3,16248.96
12379.0,1620.22,4,405.055,4,3,4860.66
12380.0,9676.300000000001,11,879.6636363636364,11,3,29028.9
12381.0,1845.31,5,369.062,5,3,5535.93
12383.0,1850.56,5,370.11199999999997,5,3,5551.68
12384.0,585.27,2,292.635,2,3,1755.81
12385.0,1938.4,1,1938.4,1,3,5815.200000000001
12386.0,401.9,2,200.95,2,3,1205.6999999999998
12387.0,143.94,1,143.94,1,3,431.82
12388.0,3901.11,8,487.63875,8,3,11703.33
12389.0,1433.33,3,477.77666666666664,3,3,4299.99
12390.0,549.84,1,549.84,1,3,1649.52
12391.0,2724.84,6,454.14000000000004,6,3,8174.52
12392.0,234.75000000000003,1,234.75000000000003,1,3,704.2500000000001
12393.0,2399.45,6,399.9083333333333,6,3,7198.349999999999
12394.0,1272.48,2,636.24,2,3,3817.44
12395.0,4721.17,15,314.74466666666666,15,3,14163.51
12396.0,931.4300000000001,1,931.4300000000001,1,3,2794.29
12397.0,2409.9,2,1204.95,2,3,7229.700000000001
12398.0,1635.6599999999999,1,1635.6599999999999,1,3,4906.98
12399.0,1962.3,7,280.3285714285714,7,3,5886.9
12400.0,205.25,1,205.25,1,3,615.75
12401.0,84.3,1,84.3,1,3,252.89999999999998
12402.0,1256.9,6,209.48333333333335,6,3,3770.7000000000003
12403.0,1019.36,2,509.68,2,3,3058.08
12404.0,63.24,1,63.24,1,3,189.72
12405.0,1710.39,1,1710.39,1,3,5131.17
12406.0,6390.36,5,1278.072,5,3,19171.079999999998
12407.0,1708.12,5,341.62399999999997,5,3,5124.36
12408.0,4340.77,8,542.59625,8,3,13022.310000000001
12409.0,23419.29,7,3345.612857142857,7,3,70257.87
12410.0,1013.71,3,337.90333333333336,3,3,3041.13
12411.0,346.9,1,346.9,1,3,1040.6999999999998
12412.0,2596.93,6,432.82166666666666,6,3,7790.789999999999
